id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
3016490,3,2,1,1,0,0,97,9,9,10,10,10,9,2,1,1,1,House,2,2,1,1,200,50,1,0,32,9,0.58,1000,4,237,199,23,8,3,8,2,4,,1,13,0.0686,0.2621,0.7781,0.4474,0.1133,0.8058,0.0633,0.1913,0.3823,0.1348,$83.97,$83.97,$75.00,$75.00,$90.00,$90.00,3,3,11
3021191,3,3,1,0,0,0,98,10,10,10,10,9,10,0,,0,1,House,6,2,3,3,,,1,0,9,10,0.16,1000,4,212,119,21,3,12,41,2,,,2,25,0.0989,0.7653,0.7631,0.1617,0.0877,4.1666,0.0502,0.0696,0.2097,0.0979,$150.00,$150.00,$150.00,$150.00,$150.00,$150.00,4,2,12
3022207,0,3,1,1,0,1,91,10,9,9,9,10,10,0,,0,1,Townhouse,8,2,5,5,0,100,1,0,9,10,0.16,1000,4,499,,6,9,3,,,4,,1,7,0.0346,0.241,0.5088,0.4788,0.3141,1.03,0.2335,0.7084,0.6102,0.3141,$325.00,$325.00,$325.00,$325.00,$325.00,$325.00,4,3,13
3026050,3,3,1,0,0,0,96,10,10,10,10,9,9,4,1,1,1,Apartment,3,1,0,1,0,25,1,0,76,9,1.41,1000,4,244,173,39,10,14,11,1,3,2,5,32,0.0691,0.3228,0.1203,0.0288,0.0703,3.7189,0.0641,0.0353,0.4212,0.0703,$115.00,$115.00,$115.00,$115.00,$115.00,$115.00,4,1,12
3053021,3,3,1,0,0,0,78,8,7.2,8.4,8.5,7.6,7.7,0,,0,1,House,6,2,3,4,500,,1,0,0,,,1000,4,249,126,4,1,5,2,,,,2,11,0.3912,0.7462,0.527,0.1676,0.285,4.1674,0.4281,0.3883,0.8443,0.4091,$345.00,$345.00,$345.00,$345.00,$345.00,$345.00,4,2,13
3092373,4,2,0,0,0,0,96,10,9,10,10,10,10,0,,0,1,Apartment,5,2,2,2,,,1,0,42,10,0.73,422,4,247,,11,16,7,,,2,2,4,15,0.0601,0.1409,0.3606,0.0309,0.1002,3.5599,0.0811,1.5101,0.8426,0.1002,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,4,2,9
3099304,0,3,1,0,0,0,100,10,10,10,10,10,10,0,,0,3,Townhouse,3,2,1,1,,50,2,20,8,10,0.15,1000,4,248,92,16,3,10,27,2,,1,3,19,0.2486,0.6775,0.4329,0.1557,0.0728,3.8847,0.1311,0.0621,0.1535,0.0728,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,3,2,10
3103276,3,2,1,0,0,0,97,10,10,10,10,10,10,4,1,1,9,Villa,2,1,1,2,,45,2,25,367,10,6.4,1000,4,445,814,21,10,3,7,1,4,,,10,0.1153,0.3153,0.8199,0.5231,0.097,0.7496,0.0495,0.2696,0.4525,0.2029,$71.45,$71.45,$41.00,$41.00,$75.00,$75.00,4,4,16
3112949,3,3,1,0,0,0,97,10,10,10,10,9,10,2,1,0,1,Apartment,4,1,1,1,150,50,2,10,99,10,1.73,1004,4,248,111,29,4,15,59,3,,,2,29,0.2789,0.9793,0.8607,0.4067,0.1549,4.347,0.1338,0.0743,0.29,0.2645,$94.78,$94.78,$85.00,$85.00,$109.00,$109.00,3,2,10
3119991,3,2,0,0,0,0,93,10,10,10,10,8,9,0,,0,1,Bed and breakfast,2,1,1,1,0,10,1,20,40,9,0.71,1000,4,372,171,23,2,27,34,,1,,4,45,0.4446,0.4817,0.8933,0.1521,0.0951,1.8408,0.0772,0.0408,0.9732,0.132,$100.24,$100.24,$95.00,$95.00,$105.00,$105.00,3,2,11
